zip,no.drug.arrests.13.18,no.ems.calls.13.18,Estimate..Total.,proportionWhite,proportionNonWhite
10301,2600,4611,39451,0.5508352133025779,0.4491647866974221
10302,1387,1402,18539,0.6395166945358434,0.36048330546415663
10303,1229,1160,25804,0.43783909471399785,0.5621609052860022
10304,2092,2383,41884,0.5275284118040302,0.4724715881959698
10305,1099,1706,42311,0.7503013400770485,0.24969865992295148
10306,1053,2117,54021,0.862386849558505,0.13761315044149497
10307,323,309,15528,0.9489953632148377,0.05100463678516229
10308,337,653,30024,0.9260924593658406,0.07390754063415934
10309,915,914,33660,0.9253119429590018,0.07468805704099822
10310,880,1129,23708,0.5909819470221023,0.4090180529778978
10312,1097,1088,61058,0.9140325592060009,0.08596744079399915
10314,1651,1738,89960,0.747799021787461,0.2522009782125389
